artist,genre,genre_id
Adele,Pop,14
Adele,Rock,21
Adele,French Pop,50000064
Ariana Grande,Pop,14
Avril Lavigne,Pop,14
Avril Lavigne,Rock,21
A Fine Frenzy,Pop,14
Alicia Keys,Pop,14
Alicia Keys,R&B/Soul,15
Alicia Keys,Funk,1139
Alessia Cara,Pop,14
Angie Miller,Pop,14
Alyssa Reid,Pop,14
Amy Winehouse,Pop,14
Amy Winehouse,R&B/Soul,15
Angelika Vee,Dance,17
Alina Baraz,Electronic,7
Alison Krauss,Country,6
Alex G,Singer/Songwriter,10
Alexandra Stan,Dance,17
Audrey Assad,Christian & Gospel,22
Agnes Obel,Alternative,20
Amanda Noelle,Christian & Gospel,22
Angela Ammons,R&B/Soul,15
AURORA,Electronic,7
AURORA,Pop,14
AURORA,Dance,17
AURORA,Hip Hop/Rap,18
AURORA,World,19
AURORA,Alternative,20
AURORA,Rock,21
AURORA,Reggae,24
AURORA,Punk,1006
AURORA,Hardcore,1047
AURORA,Trance,1051
Amy Grant,Christian & Gospel,22
Alizée,Pop,14
Alizée,Dance,17
Alizée,World,19
Alizée,French Pop,50000064
Allie Moss,Pop,14
Aimee Allen,Jazz,11
Aimee Allen,Pop,14
Aimee Allen,Soundtrack,16
Aimee Allen,Rock,21
Alyson Stoner,Pop,14
Audrey Hepburn,Comedy,3
Aria,World,19
Aria,Rock,21
Anne Queffélec,Classical,5
Alexz Johnson,Pop,14
Anna Vissi,Pop,14
Anna Vissi,World,19
Alice Russell,Electronic,7
Alice Russell,R&B/Soul,15
Audra Mae,Alternative,20
Aleesia,Pop,14
Anne-Sophie Mutter,Classical,5
Alexandra Burke,Pop,14
Amanda Seyfried,Pop,14
Adrian von Ziegler,Classical,5
Anouk,Pop,14
Aretha Franklin,R&B/Soul,15
Annie Lennox,Pop,14
Annett Louisan,Pop,14
Ann Winsborn,Pop,14
Anjulie,Pop,14
Aimee Blackschleger,Pop,14
Alexandra Streliski,Instrumental,53
Anya Marina,Alternative,20
Alesha Dixon,Pop,14
Arisa,Pop,14
Arisa,R&B/Soul,15
Arisa,Soundtrack,16
Arisa,J-Pop,27
Alex Parks,Pop,14
Beyoncé,Pop,14
Beyoncé,R&B/Soul,15
Beyoncé,Hip Hop/Rap,18
Britney Spears,Pop,14
Britney Spears,Hip Hop/Rap,18
Bea Miller,Pop,14
Birdy,Pop,14
Bebe Rexha,Pop,14
Azealia Banks,Hip Hop/Rap,18
Becky G,Pop,14
Britt Nicole,Christian & Gospel,22
Brandy,Latin,12
Brandy,Pop,14
Brandy,R&B/Soul,15
Brandy,Hip Hop/Rap,18
Brandy,House,1048
Berry,Pop,14
Bette Midler,Vocal,23
Barbra Streisand,Vocal,23
BrunuhVille,New Age,13
Bebe,Pop,14
Bebe,Soundtrack,16
Bebe,World,19
Bebe,Alternative & Rock in Spanish,1121
Billie Holiday,Jazz,11
Björk,Electronic,7
Björk,Alternative,20
Björk,Rock,21
Betty Who,Pop,14
Bo Bruce,Pop,14
Burcu Güneş,Pop,14
Bridgit Mendler,Pop,14
Brenda Boykin,Blues,2
Beegie Adair,Jazz,11
Brandi Carlile,Singer/Songwriter,10
Brandi Carlile,Alternative,20
Beverley Craven,Pop,14
BBX,Dance,17
Baby K,Pop,14
Baby K,Hip Hop/Rap,18
Bic Runga,Pop,14
Bic Runga,Alternative,20
Black Buddafly,R&B/Soul,15
Bengü,Pop,14
Bonnie Tyler,Pop,14
Bonnie Tyler,Rock,21
Breanne Düren,Pop,14
Brenda Lee,Country,6
Brenda Lee,Holiday,8
Brenda Lee,Jazz,11
Brenda Lee,Pop,14
Brenda Lee,Soundtrack,16
Brenda Lee,Vocal,23
Brenda Lee,Christmas,1080
Brenda Lee,Rock & Roll,1157
Brenda Lee,Samba,1227
Brenda Lee,Oldies,1293
Bonnie McKee,Pop,14
Billie Marten,Singer/Songwriter,10
Bob Crosby,Jazz,11
Bob Crosby,New Age,13
Bess Rogers,Pop,14
Brianna,Pop,14
Brooke Waggoner,Singer/Songwriter,10
Brianna Shelko,Pop,14
Bianca Merkley,Singer/Songwriter,10
Belinda Carlisle,Pop,14
Brooke Fraser,Pop,14
Brooke Fraser,Rock,21
Bê Ignacio,Pop,14
Bebel Gilberto,Lounge,1054
Bebel Gilberto,Pop,14
Betty Hutton,Vocal,23
Howard Baer,New Age,13
Carly Rae Jepsen,Pop,14
Colbie Caillat,Pop,14
Charli XCX,Pop,14
Christina Aguilera,Pop,14
Christina Perri,Pop,14
Caro Emerald,Pop,14
Carla Bruni,Pop,14
Carla Bruni,French Pop,50000064
Carrie Underwood,Country,6
Carrie Underwood,Pop,14
Carrie Underwood,Alternative,20
Crazy Frog,Electronic,7
Crazy Frog,Dance,17
Claudia Leitte,Pop,14
Ciara,Pop,14
Ciara,R&B/Soul,15
Ciara,Hip Hop/Rap,18
Cascada,Pop,14
Cascada,Dance,17
Cascada,J-Pop,27
Christina Grimmie,Pop,14
Cara Dillon,Rock,21
Cecile Corbel,Singer/Songwriter,10
Cher,Pop,14
Cher,Rock,21
Cher Lloyd,Pop,14
Cassadee Pope,Pop,14
Cleopatra Stratan,Children's Music,4
Corinne Bailey Rae,Pop,14
Corinne Bailey Rae,R&B/Soul,15
Camaron Ochs,Pop,14
Clementine,Pop,14
Clementine,French Pop,50000064
Charice,Pop,14
Charice,Dance,17
Charice,World,19
Cat Power,Alternative,20
Candan Erçetin,Pop,14
Cœoeur de pirate,French Pop,50000064
ชาช่า,Pop,14
CALLmeKAT,Alternative,20
Caron Nightingale,Pop,14
Cathy Davey,Pop,14
Courtney Barnett,Alternative,20
Chlöe Howl,Pop,14
Cheryl Cole,Pop,14
Carissa Rae,Dance,17
克麗絲叮,Mandopop,1253
Cartoon,Pop,14
Chelsea Lankes,Pop,14
Chelley,Dance,17
Chantal Chamberland,Jazz,11
Cory Lee,Pop,14
Christine and the Queens,Alternative,20
Cindy Santini,Rock,21
Costi,Pop,14
CASSIE,Singer/Songwriter,10
CASSIE,Pop,14
CASSIE,R&B/Soul,15
CASSIE,Dance,17
CASSIE,Hip Hop/Rap,18
Charlotte Perrelli,Pop,14
Claudia Cream,Dance,17
Demi Lovato,Pop,14
Dia Frampton,Alternative,20
Dido,Pop,14
Dido,Soundtrack,16
Dido,Dance,17
Dido,Rock,21
Diane Birch,Pop,14
Dana Winner,Pop,14
Dana Winner,Rock,21
Dana Winner,Vocal,23
Dana Winner,German Pop,50000066
Donna Lewis,Rock,21
Duffy,Pop,14
Duffy,Rock,21
Diana Vickers,Pop,14
Dave Barnes,Pop,14
Dev,Pop,14
Daveed,R&B/Soul,15
Diana Krall,Jazz,11
Delta Goodrem,Pop,14
Donna Burke,Singer/Songwriter,10
Doja Cat,R&B/Soul,15
Doris Day,Jazz,11
Doris Day,Pop,14
Dej Loaf,Hip Hop/Rap,18
Diana Ross,R&B/Soul,15
Donna Summer,Pop,14
Donna Summer,R&B/Soul,15
Denean,World,19
Daya,Singer/Songwriter,10
Daya,Pop,14
Danny Wright,Pop,14
Dusty Springfield,Pop,14
Dusty Springfield,R&B/Soul,15
Deniz Seki,Pop,14
Dove Cameron,Soundtrack,16
DaniElle DeLaite,Pop,14
Dami Im,Pop,14
Di Johnston,Electronic,7
Daniela Andrade,Singer/Songwriter,10
Dianne Reeves,Jazz,11
Dolly Parton,Country,6
Daphne,Pop,14
Daphne,Dance,17
Daphne,French Pop,50000064
Daphne,Pop/Rock,1133
Dana Lowrey,Pop,14
Delacey,Dance,17
Dinka,Dance,17
Dakota Grey,R&B/Soul,15
Daanii,R&B/Soul,15
Danielle Bradbery,Country,6
Darrelle London,Pop,14
Deva Premal,New Age,13
Debby Boone,Christian & Gospel,22
Darlene Love,R&B/Soul,15
DJane HouseKat,Dance,17
Deborah Cox,R&B/Soul,15
Deborah Cox,Dance,17
Ellie Goulding,Electronic,7
Ellie Goulding,Pop,14
Ellie Goulding,Dance,17
Enya,New Age,13
Emma Stevens,Singer/Songwriter,10
Emilia,Singer/Songwriter,10
Emilia,Pop,14
Elizabeth Mitchell,Children's Music,4
Elle King,Alternative,20
Ella Henderson,Pop,14
Ella Henderson,Dance,17
Ella Henderson,House,1048
Eleni Karaindrou,Soundtrack,16
Elen Levon,Dance,17
Emeli Sandé,Pop,14
Ella Fitzgerald,Vocal,23
Emily Grace Berry,Country,6
Emily Hearn,Singer/Songwriter,10
Edvin Marton,Instrumental,53
Emma Hewitt,Dance,17
Elliphant,Pop,14
Elize,Pop,14
Elize,Dance,17
Elize,Rock,21
Edith Piaf,Pop,14
Edith Piaf,Vocal,23
Edith Piaf,French Pop,50000064
Elina Born,Pop,14
Eva Simons,Dance,17
Estelle,Pop,14
Estelle,R&B/Soul,15
Estelle,Dance,17
Estelle,Hip Hop/Rap,18
Estelle,House,1048
Elizabeth Naccarato,New Age,13
Etta James,R&B/Soul,15
Etta James,Vocal,23
Ebru Gündeş,Pop,14
Erin McCarley,Pop,14
Eva Cassidy,Pop,14
Ella Eyre,Pop,14
Emma Bale,Pop,14
Elsa Kopf,Pop,14
Emmelie de Forest,Pop,14
Ester Dean,R&B/Soul,15
Elitsa Alexandrova,Soundtrack,16
Boys Like Girls,Alternative,20
Boys Like Girls,Rock,21
Elaine Paige,Pop,14
Ellem,Pop,14
Erykah Badu,R&B/Soul,15
Emmylou Harris,Country,6
Elina,Pop,14
Enca,Pop,14
Émilie Simon,Pop,14
Émilie Simon,Dance,17
Elena Gheorghe,Dance,17
Eliane Elias,Classical,5
Eliane Elias,Jazz,11
Eliza Gilkyson,Singer/Songwriter,10
Elise Estrada,Pop,14
edIT,Electronic,7
edIT,Pop,14
edIT,Jungle/Drum'n'bass,1049
Eliza Doolittle,Pop,14
Fefe Dobson,Pop,14
Fergie,Electronic,7
Fergie,Pop,14
Fergie,Soundtrack,16
Fergie,Dance,17
Fergie,Techno,1050
Foxes,Pop,14
Foxes,Rock,21
Fallulah,Pop,14
Faith Hill,Country,6
Faith Evans,R&B/Soul,15
Faith Evans,Hip Hop/Rap,18
Federica Camba,Pop,14
Frida Amundsen,Pop,14
Feist,Electronic,7
Feist,Jazz,11
Feist,Pop,14
Feist,Alternative,20
Françoise Hardy,Pop,14
Françoise Hardy,French Pop,50000064
Frente!,Pop,14
Frances,Singer/Songwriter,10
FKA twigs,Electronic,7
Fiorella Mannoia,Pop,14
Frankie Valli,Pop,14
Fiona Apple,Rock,21
Fee,Christian & Gospel,22
Florrie,Pop,14
Fat Jon,Hip Hop/Rap,18
Free the Spirit,New Age,13
Freestylers,Electronic,7
Fleur East,Pop,14
Fiora,Dance,17
Francesca Battistelli,Christian & Gospel,22
Four80East,Jazz,11
Frida Sundemo,Pop,14
Fatin,Pop,14
Family Force 5,Alternative,20
Fantasia,R&B/Soul,15
Fantasia,Dance,17
Fantasia,Baladas y Boleros,1120
Frankie Ruiz,Salsa y Tropical,1124
Frankie Ruiz,Latin,12
Freja Kirk,Pop,14
Fridrik Karlsson,Classical,5
Fridrik Karlsson,New Age,13
Buena Fe,Pop in Spanish,1117
Fran,Pop,14
Felxprod,Dance,17
Faryl Smith,Classical,5
France Ellul,Celtic,1180
France Gall,French Pop,50000064
Federica Fornabaio,Easy Listening,25
Flower Face,Alternative,20
Fragma,Dance,17
The Magnetic Fields,Pop,14
The Magnetic Fields,Alternative,20
Frally,Singer/Songwriter,10
Chris Brown feat. Future & Young Thug,Hip Hop/Rap,18
Fancy,Pop,14
Fancy,Alternative,20
Fancy,Rock,21
Fancy,Hip-Hop,1073
Fancy,K-Pop,1686
Fisher,Dance,17
Fisher,Rock,21
Gwyneth Paltrow,Country,6
Giulia,Pop,14
Gwen Stefani,Pop,14
Gwen Stefani,Alternative,20
Gabrielle Aplin,Electronic,7
Gabrielle Aplin,Singer/Songwriter,10
Gabrielle Aplin,Pop,14
Gin Wigmore,Alternative,20
Grimes,Electronic,7
Grimes,Pop,14
Grimes,Dance,17
Grimes,Hip Hop/Rap,18
Grimes,Alternative,20
Globus,Rock,21
Gloria Gaynor,Pop,14
Gloria Gaynor,Rock,21
Three Days Grace,Rock,21
Gülben Ergen,Pop,14
GALA,Pop,14
GALA,Dance,17
Gianni Kosta,Dance,17
Goldmund,Alternative,20
Giusy Ferreri,Pop,14
Gullia,Children's Music,4
Ghosts,Electronic,7
Ghosts,Pop,14
Gia Farrell,Pop,14
Gummibär,Pop,14
Gummibär,Dance,17
Giorgia Fumanti,Pop,14
Gunther & The Sunshine Girls,Pop,14
Three Days Grace,Rock,21
Glowie,Pop,14
Geri Halliwell,Pop,14
Geri Halliwell,Rock,21
Grant Miller,Dance,17
Gjan,Pop,14
Glasperlenspiel,Pop,14
Göksel,Pop,14
Gabi Knoll,Pop,14
Getter Jaani,Pop,14
Gloria Estefan,Pop,14
Group Home,Hip Hop/Rap,18
Gregory and The Hawk,Alternative,20
Gemma Hayes,Rock,21
Goya,Pop,14
Gladys Knight,R&B/Soul,15
Giselle,Country,6
Giselle,Latin,12
Giselle,Pop,14
Giselle,R&B/Soul,15
Gabrielle,Electronic,7
Gabrielle,Singer/Songwriter,10
Gabrielle,Pop,14
Gabrielle,Soundtrack,16
Gabrielle,Christian & Gospel,22
Ginny Owens,Classical,5
Ginny Owens,Christian & Gospel,22
Gaby Amarantos,MPB,1225
Geto Boys,R&B/Soul,15
Geto Boys,Hip Hop/Rap,18
Gillian Welch,Singer/Songwriter,10
Gillian Welch,Jazz,11
Giorgia,Classical,5
Giorgia,Pop,14
Gisella Cozzo,Pop,14
Graziella Schazad,Pop,14
Grace Jones,Pop,14
Grace Jones,R&B/Soul,15
Grace Jones,Rock,21
Hélène Rollès,Pop,14
Hélène Rollès,French Pop,50000064
Halsey,Electronic,7
Halsey,Dance,17
Halsey,Alternative,20
Katri Helena,Pop,14
Hilary Duff,Pop,14
Havana Brown,Pop,14
Havana Brown,Dance,17
Hailee Steinfeld,Pop,14
Hayley Williams,Hip Hop/Rap,18
Haley Reinhart,Pop,14
Hilary Hahn,Classical,5
Hayley Westenra,Pop,14
Halie Loren,Jazz,11
Hadise,Pop,14
Hande Yener,Pop,14
Hailey Rowe,Pop,14
Honey C,Hip Hop/Rap,18
Hélène Ségara,French Pop,50000064
Helena Paparizou,Pop,14
Helena Paparizou,World,19
Holly Throsby,Alternative,20
Heidi Montag,Pop,14
Haroula Rose,Singer/Songwriter,10
Helene Fischer,German Pop,50000066
Hampton the Hampster,Children's Music,4
Hampton the Hampster,Pop,14
Hillsong,Christian & Gospel,22
Holly Dolly,Pop,14
Holly Dolly,Dance,17
Hall & Oates,Pop,14
Hall & Oates,Rock,21
Hannah Georgas,Pop,14
Hannah Georgas,Alternative,20
Hayley Sales,Pop,14
Hayley Kiyoko,Pop,14
Holly Starr,Christian & Gospel,22
Heidi Happy,Pop,14
Hexstatic,Electronic,7
Χάρις Αλεξίου,Pop,14
Handsome Ghost,Alternative,20
Miley Cyrus,Pop,14
Miley Cyrus,Soundtrack,16
Hera,Singer/Songwriter,10
Hybrid,Electronic,7
Hybrid,Soundtrack,16
Hybrid,Dance,17
Hippie Sabotage,Electronic,7
Harshdeep Kaur,Indian Pop,1185
Holly Henry,Alternative,20
Hayley Taylor,Rock,21
Hélène Grimaud,Classical,5
Heather Nova,Pop,14
Heather Headley,R&B/Soul,15
Heather Batchelor,Pop,14
Helen Boulding,Pop,14
Honorata Skarbek,Pop,14
Honorata Skarbek,Dance,17
Handsome Boy Modeling School,Hip Hop/Rap,18
Hilary Stagg,New Age,13
Ingrid Michaelson,Pop,14
Iggy Azalea,Hip Hop/Rap,18
Idina Menzel,Pop,14
Idina Menzel,Rock,21
Inna,Pop,14
Inna,Dance,17
Ina Wroldsen,Pop,14
Inez,Pop,14
In-Grid,Electronic,7
In-Grid,Dance,17
In-Grid,Rock,21
In-Grid,German Pop,50000066
In-Grid,Lounge,1054
Imany,Pop,14
India.Arie,R&B/Soul,15
Isgaard,Electronic,7
Isgaard,Pop,14
Izzy Bizu,R&B/Soul,15
Ive Mendes,Pop,14
Irene Cara,Pop,14
Ivi Adamou,Electronic,7
Ivi Adamou,Pop,14
Ilaria Graziano,Pop,14
Inner Circle,Reggae,24
Inner Circle,Karaoke,52
Imogen Heap,Alternative,20
Imogen Heap,Rock,21
ISA,Pop,14
ISA,Hip Hop/Rap,18
Indiana,Electronic,7
Indiana,Dance,17
Indiana,Hip Hop/Rap,18
Indiana,Alternative,20
Indiana,Rock,21
Indiana,House,1048
Iridio,Heavy Metal,1153
Iridio,World,19
IAMX,Electronic,7
Izzy Marie Hill,Pop,14
Irma,Pop,14
Ivy Levan,Pop,14
Inger Marie Gundersen,Jazz,11
Imelda May,Jazz,11
Iris,Pop,14
Iris,Rock,21
I Nine,Pop,14
I Nine,Reggae,24
Ida Haendel,Classical,5
Isabelle Boulay,Vocal,23
Isobel Campbell,Alternative,20
Isobel Campbell,Rock,21
Ida Corr,Dance,17
Ida Corr,World,19
Invader Girl,Pop,14
Impellitteri,Rock,21
Ida Redig,Pop,14
Ich + Ich,Pop,14
Iris DeMent,Singer/Songwriter,10
Indian Summer,Dance,17
Indian Summer,World,19
Ingrid Haebler,Classical,5
Ingrid Chavez,Alternative,20
Ivy Quainoo,Pop,14
Izzy Stradlin,Rock,21
Jessie J,Soundtrack,1169
Jessie J,Pop,14
Jess Glynne,Pop,14
Jewel,Holiday,8
Jewel,Pop,14
Jewel,R&B/Soul,15
Jewel,Soundtrack,16
Jewel,Hip Hop/Rap,18
Jewel,World,19
Jewel,Lullabies,1014
Jewel,Asia,1204
Jasmine Thompson,Singer/Songwriter,10
Jasmine Thompson,Pop,14
Jasmine Thompson,R&B/Soul,15
Jasmine Thompson,Dance,17
Jasmine Thompson,Hip Hop/Rap,18
Jasmine Thompson,House,1048
Jennifer Lopez,Funk,1139
Jennifer Lopez,Pop,14
Janelle Monáe,R&B/Soul,15
Janelle Monáe,Hip Hop/Rap,18
Joy Gruttmann,Rock,21
Joy Gruttmann,German Pop,50000066
Jocelyn Pook,Soundtrack,16
Joanie Madden,Singer/Songwriter,10
Jem,Pop,14
Jem,Soundtrack,16
Jem,Dance,17
Jem,Alternative,20
Jessie Ware,Pop,14
Janet Jackson,Pop,14
Jaci Velasquez,Christian & Gospel,22
Jordin Sparks,Pop,14
Joyce Jonathan,French Pop,50000064
Joan Baez,Singer/Songwriter,10
Joy Williams,Alternative,20
Joy Williams,Christian & Gospel,22
Joy Williams,Traditional Gospel,1105
Jessica Simpson,Singer/Songwriter,10
Jessica Simpson,Pop,14
Jhené Aiko,R&B/Soul,15
Joss Stone,Pop,14
Jessica Mauboy,Pop,14
Jibbs,R&B/Soul,15
Jibbs,Hip Hop/Rap,18
Julia Sheer,Singer/Songwriter,10
Jeffree Star,Electronic,7
Jennifer Hudson,Alternative,20
Jennifer Hudson,Rock,21
Jay Delano,Hip Hop/Rap,18
Jacqueline du Pré,Classical,5
Julie London,Jazz,11
Jane Birkin,Rock,21
Jane Birkin,French Pop,50000064
Janet Seidel,Jazz,11
Jim Croce,Pop,14
Janis Joplin,Rock,21
Jennifer Lynn,Pop,14
Jazmine Sullivan,R&B/Soul,15
Jessi Malay,Pop,14
Jes,Dance,17
Jes,Hip Hop/Rap,18
Jes,Rap,1076
Jojo,Pop,14
Jojo,World,19
Jojo,Alternative,20
Jojo,Bollywood,1263
Jojo,Indian Folk,1279
Jojo,Pop,14
Jojo,World,19
Jojo,Alternative,20
Jojo,Bollywood,1263
Jojo,Indian Folk,1279
Jamelia,Pop,14
Jamelia,R&B/Soul,15
Jamelia,Soundtrack,16
Joni Mitchell,Pop,14
Joni Mitchell,Rock,21
Jordyn Taylor,Pop,14
Jordyn Taylor,R&B/Soul,15
Jessie Farrell,Country,6
Joan Jett,Rock,21
Jessica Jay,Dance,17
Julie Fowlis,Singer/Songwriter,10
Joy Enriquez,Christian & Gospel,22
Katy Perry,Pop,14
Katy Perry,Dance,17
Kelly Clarkson,Pop,14
Kesha,Singer/Songwriter,10
Kim Taylor,Singer/Songwriter,10
Kate Havnevik,Alternative,20
Kimbra,Pop,14
Kate Linn,Pop,14
Katie Sky,Singer/Songwriter,10
Keren Ann,Singer/Songwriter,10
Keren Ann,Pop,14
Keren Ann,Rock,21
Keren Ann,French Pop,50000064
Kari Kimmel,Pop,14
Kelly Sweet,Pop,14
Kyla La Grange,Singer/Songwriter,10
Kylie Minogue,Pop,14
Kacey Musgraves,Country,6
Karen Souza,Jazz,11
Kait Weston,Singer/Songwriter,10
KT Tunstall,Pop,14
KT Tunstall,Alternative,20
Katharine McPhee,Pop,14
Katie Herzig,Alternative,20
Keyshia Cole,R&B/Soul,15
Katy B,Pop,14
Kristina Train,Pop,14
Kat DeLuna,Pop,14
Kelly Rowland,Pop,14
Kelly Rowland,R&B/Soul,15
Katie Melua,Pop,14
Kika,Pop,14
Katherine Jenkins,Classical,5
Katherine Jenkins,Vocal,23
Karen O,Alternative,20
Kina Grannis,Singer/Songwriter,10
Kehlani,R&B/Soul,15
Kelsea Ballerini,Country,6
Kerri Watt,Singer/Songwriter,10
Kelleigh Bannen,Country,6
Keri Hilson,R&B/Soul,15
Keri Hilson,Rock,21
Katy McAllister,Singer/Songwriter,10
Keely Smith,Jazz,11
Krystl,Pop,14
Kiiara,Pop,14
Kamelia,Pop,14
Kaci Battaglia,Pop,14
Katie Goes to Tokyo,Pop,14
Kate Miller-Heidke,Pop,14
Kiki Rowe,R&B/Soul,15
Kim Carnes,Country,6
Kim Carnes,Pop,14
Kimberly Cole,Dance,17
Kristinia DeBarge,Pop,14
Keri Noble,Singer/Songwriter,10
Keri Noble,Pop,14
Kate Nash,Pop,14
Kate Nash,Alternative,20
Lana Del Rey,Alternative,20
Lady Gaga,Pop,14
Lenka,Pop,14
Lorde,Pop,14
Lorde,Dance,17
Lindsey Stirling,Pop,14
Leona Lewis,Pop,14
Lily Allen,Pop,14
Lene Marlin,Pop,14
Laura Welsh,Pop,14
Lainey Lou,Pop,14
Louisa Wendorff,Singer/Songwriter,10
Leddra Chapman,Pop,14
Luciana,R&B/Soul,15
Luciana,Dance,17
Lindsey Ray,Pop,14
Listenbee,Dance,17
Laura Pausini,Latin,12
Laura Pausini,Pop,14
LeAnn Rimes,Country,6
LeAnn Rimes,Rock,21
Laura Story,Christian & Gospel,22
Laura Fygi,Vocal,23
Lauren Aquilina,Pop,14
Lola,Pop,14
Lisa Ekdahl,Pop,14
Linda Ronstadt,Pop,14
Laura Shigihara,Soundtrack,16
Lea Michele,Pop,14
Lisa Lynne,Classical,5
Lisa Lynne,New Age,13
Leighton Meester,Pop,14
Loreen,Pop,14
Loreen,Easy Listening,25
Linnea Dale,Pop,14
Loreena McKennitt,World,19
Lisa Miskovsky,Pop,14
Laura Veirs,Singer/Songwriter,10
Laura Veirs,Alternative,20
Laurell,Pop,14
Lykke Li,Electronic,7
Lykke Li,Alternative,20
Lena,Pop,14
LaFee,Pop,14
Lena Fayre,Pop,14
Lights,Pop,14
Lights,Rock,21
Lil' Kim,Hip Hop/Rap,18
Lianne La Havas,Alternative,20
Lonely Drifter Karen,Alternative,20
Louane,French Pop,50000064
Lyric Everly,Singer/Songwriter,10
Los del Río,Latin,12
Los del Río,Pop,14
Lynnsha,R&B/Soul,15
Lex Vandyke,Pop,14
Lenachka,Singer/Songwriter,10
Lucy Schwartz,Pop,14
Lara Fabian,Pop,14
Lara Fabian,French Pop,50000064
Audioslave,Alternative,20
Meghan Trainor,Pop,14
Mariah Carey,Pop,14
Miley Cyrus,Pop,14
Miley Cyrus,Soundtrack,16
Madilyn Bailey,Singer/Songwriter,10
Agnes Monica,Pop,14
Madonna,Latin,12
Madonna,Pop,14
Madonna,World,19
Maria Arredondo,Pop,14
Marketa Irglova,Alternative,20
Macy Gray,R&B/Soul,15
Megan Nicole,Singer/Songwriter,10
Mandisa,Christian & Gospel,22
Marian Hill,Electronic,7
Meiko,Singer/Songwriter,10
Meiko,Kayokyoku,30
